""   ,Date      ,symbol,value      ,change              ,type
214  ,2007-03-06,AAPL  ,11.667402  ,-0.53293783826082   ,price
215  ,2007-03-06,GSPC  ,1395.410034,-0.246527036224537  ,price
216  ,2007-03-07,MSFT  ,22.222769  ,-1.05034615623282   ,price
217  ,2007-03-07,IBM   ,77.995806  ,-1.00064098318312   ,price
218  ,2007-03-07,SBUX  ,13.959725  ,0.754842949986475   ,price
219  ,2007-03-07,AAPL  ,11.605222  ,0.31919251523151    ,price
220  ,2007-03-07,GSPC  ,1391.969971,0.712662213027005   ,price
221  ,2007-03-08,MSFT  ,21.989353  ,-0.109807687383989  ,price
222  ,2007-03-08,IBM   ,77.215348  ,0.301073563768687   ,price
223  ,2007-03-08,SBUX  ,14.065099  ,-1.27036432519956   ,price
224  ,2007-03-08,AAPL  ,11.642265  ,-0.0340913043982392 ,price
225  ,2007-03-08,GSPC  ,1401.890015,0.0677621632107891  ,price
226  ,2007-03-09,MSFT  ,21.965207  ,0.549651091382841   ,price
227  ,2007-03-09,IBM   ,77.447823  ,0.889796476267637   ,price
228  ,2007-03-09,SBUX  ,13.886421  ,-0.791816696325145  ,price
229  ,2007-03-09,AAPL  ,11.638296  ,2.15983508238663    ,price
230  ,2007-03-09,GSPC  ,1402.839966,0.268028434542046   ,price
231  ,2007-03-12,MSFT  ,22.085939  ,-2.62390926643418   ,price
232  ,2007-03-12,IBM   ,78.136951  ,-1.48762267419417   ,price
233  ,2007-03-12,SBUX  ,13.776466  ,-2.3611498043112    ,price
234  ,2007-03-12,AAPL  ,11.889664  ,-1.6356980315003    ,price
235  ,2007-03-12,GSPC  ,1406.599976,-2.03682820196493   ,price
236  ,2007-03-13,MSFT  ,21.506424  ,2.54490937219503    ,price
237  ,2007-03-13,IBM   ,76.974568  ,1.13256757738477    ,price
238  ,2007-03-13,SBUX  ,13.451183  ,-0.136248239281267  ,price
239  ,2007-03-13,AAPL  ,11.695185  ,1.8099499922404     ,price
240  ,2007-03-13,GSPC  ,1377.949951,0.669116682598576   ,price
241  ,2007-03-14,MSFT  ,22.053743  ,-0.43795286813672   ,price
242  ,2007-03-14,IBM   ,77.846357  ,-0.330637180619773  ,price
243  ,2007-03-14,SBUX  ,13.432856  ,0.920876394416804   ,price
244  ,2007-03-14,AAPL  ,11.906862  ,-0.477774916682504  ,price
245  ,2007-03-14,GSPC  ,1387.170044,0.3683748089935     ,price
